Compound name,Compound id,Device id,Publish year,Doi,Journal name,Smiles,Mn(Kda),Dispersity(Đ),π-π Spacing,d(100),Device architectures,Channel length(μm),Channel width(μm),Ratio of channel length and width,Materials of dielectric layer,Thickness of dielectric layer(μm),Capacitance of unit area(nF),Materials of source and drain electrodes,Materials of gate electrodes,Fabrication method,Annealing temperature,Spin coating solvent,Spin coating speed(rpm),Test environment,Type of carriers,HOMO (eV),LUMO (eV),Max hole mobility (cm²V⁻¹s⁻¹),Mean hole mobility (cm²V⁻¹s⁻¹),Hole threshold voltage(V),Hole on and off ratio,Max electron mobility (cm²V⁻¹s⁻¹),Mean electron mobility (cm²V⁻¹s⁻¹),Electron threshold voltage(V),Electron on and off ratio,Max mobility (cm²V⁻¹s⁻¹),Comments
Cl-IIDT,70,121,2015,10.1021/acs.macromol.5b01074,Macromolecules,O=C1N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C([H])C(C3=CC(CCCCCCCCCCCC)=C(C4=CC=CS4)S3)=C(Cl)C=C2/C1=C(C5=CC(Cl)=C(C6=CC(CCCCCCCCCCCC)=C(C7=CC=CS7)S6)C([H])=C5N8CC(CCCCCCCCCC)CCCCCCCCCCCC)C8=O,30.1,2.44,4.25,23.22,TG/BC,60.0,2400.0,40.0,OTS-modified SiO2,300.0,,Ag,Si,"Spin coating - annealing",180.0,Chloroform,,Ambient,p,-5.53,-3.85,0.1,0.08,-18.4,,,,,,0.1,
P(TzII-TTT),71,122,2018,10.1002/chem.201801432,Chemistry a European Journal,O=C(N1CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)/C(C2=C1N=CS2)=C3C(N(CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C4=C/3SC(C5=CC=C(C6=CC=C(C7=CC=CS7)S6)S5)=N4)=O,71.1,,3.49,,TG/BC,,,,Cytop,,3.7,Au,Al,"Spin coating - annealing",180.0,o-DCB,,Ambient,ambipolar,-5.13,-3.58,3.93,3.31,,,1.07,0.76,,,3.93,
P(TzII-TTT),71,123,2018,10.1002/chem.201801432,Chemistry a European Journal,O=C(N1CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)/C(C2=C1N=CS2)=C3C(N(CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C4=C/3SC(C5=CC=C(C6=CC=C(C7=CC=CS7)S6)S5)=N4)=O,71.1,,3.49,,BG/TC,,,,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",180.0,o-DCB,,Ambient,p,-5.13,-3.58,3.41,2.4,,,,,,,3.41,
P(TzII-TTT),71,124,2018,10.1002/chem.201801432,Chemistry a European Journal,O=C(N1CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)/C(C2=C1N=CS2)=C3C(N(CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C4=C/3SC(C5=CC=C(C6=CC=C(C7=CC=CS7)S6)S5)=N4)=O,71.1,,3.43,,TG/BC,,,,Cytop,,3.7,Au,Al,"Spin coating - annealing",180.0,TCE,,Ambient,ambipolar,-5.13,-3.58,0.51,0.41,,,0.68,0.46,,,0.68,
P(TzII-TTT),71,125,2018,10.1002/chem.201801432,Chemistry a European Journal,O=C(N1CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)/C(C2=C1N=CS2)=C3C(N(CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C4=C/3SC(C5=CC=C(C6=CC=C(C7=CC=CS7)S6)S5)=N4)=O,71.1,,3.43,,BG/TC,,,,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",180.0,TCE,,Ambient,p,-5.13,-3.58,4.34,3.2,,,,,,,4.34,
BDOPV-2T,72,126,2013,10.1002/adma.201302278,Advanced Materials,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC=C(C6=CC=CS6)S5)=C7)=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=C9)=C9N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/8=O,77.2,3.0,3.55,28.6,TG/BC,5.0,100.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,"Spin coating - annealing",200.0,o-DCB,2000,Ambient,ambipolar,-5.72,-4.15,0.47,0.2,-57.0,10000-100000,1.45,1.2,55.0,10000-100000,1.45,Device fabricated in ambient conditions.
BDOPV-2T,72,127,2013,10.1002/adma.201302278,Advanced Materials,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC=C(C6=CC=CS6)S5)=C7)=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=C9)=C9N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/8=O,77.2,3.0,3.55,28.6,TG/BC,5.0,100.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,"Spin coating - annealing",200.0,o-DCB,2000,Ambient,n,-5.72,-4.15,,,,,1.74,1.42,44.0,10000-100000,1.74,Devices fabricated in glovebox
PBIBDF-HH,73,128,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C(N(C1=C/2C=CC(C(S3)=CC(CCCCCCCCCCCC)=C3C4=C(C=CS4)CCCCCCCCCCCC)=C1)CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C5C6=CC(O7)=C(/C(C7=O)=C8C(N(C9=C8C=CC=C9)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C=C6OC/5=O,17.4,1.85,3.55,24.53,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",175.0,Chloroform,3500,Nitrogen,ambipolar,-5.63,-4.06,0.37,0.32,-21.8,22,1.23,0.86,27.1,17,1.23,Saturated Region
PBIBDF-HT,74,129,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C(N(C1=C/2C=CC(C(SC(C3=C(C=CS3)CCCCCCCCCCCC)=C4)=C4CCCCCCCCCCCC)=C1)CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C5C6=CC(O7)=C(/C(C7=O)=C8C(N(C9=C8C=CC=C9)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C=C6OC/5=O,10.2,1.48,3.61,23.61,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",175.0,Chloroform,3500,Nitrogen,n,-5.68,-4.05,0.0018,0.0007,-27.3,6,0.175,0.05,39.0,220,0.175,Saturated Region
PBIBDF-TT,75,130,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=C(CCCCCCCCCCCC)C=C(C6=CC(CCCCCCCCCCCC)=CS6)S5)=C7)=C7N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=C9)=C9N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C/8=O,19.4,1.98,3.55,24.72,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",175.0,Chloroform,3500,Nitrogen,ambipolar,-5.73,-4.01,0.12,0.086,-37.9,42,0.64,0.5,21.4,29,0.64,Saturated Region
PBIBDF-HH,73,131,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C(N(C1=C/2C=CC(C(S3)=CC(CCCCCCCCCCCC)=C3C4=C(C=CS4)CCCCCCCCCCCC)=C1)CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C5C6=CC(O7)=C(/C(C7=O)=C8C(N(C9=C8C=CC=C9)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C=C6OC/5=O,17.4,1.85,3.55,24.53,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",175.0,Chloroform,3500,Nitrogen,ambipolar,-5.63,-4.06,0.28,0.26,-24.5,3.00E+08,0.63,0.56,18.9,10000000,0.63,Linear Region
PBIBDF-HT,74,132,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C(N(C1=C/2C=CC(C(SC(C3=C(C=CS3)CCCCCCCCCCCC)=C4)=C4CCCCCCCCCCCC)=C1)CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C5C6=CC(O7)=C(/C(C7=O)=C8C(N(C9=C8C=CC=C9)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C=C6OC/5=O,10.2,1.48,3.61,23.61,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",175.0,Chloroform,3500,Nitrogen,n,-5.68,-4.05,0.0017,0.0011,-59.7,10000000,0.105,0.046,36.9,100000,0.105,Linear Region
PBIBDF-TT,75,133,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=C(CCCCCCCCCCCC)C=C(C6=CC(CCCCCCCCCCCC)=CS6)S5)=C7)=C7N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=C9)=C9N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C/8=O,19.4,1.98,3.55,24.72,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",175.0,Chloroform,3500,Nitrogen,ambipolar,-5.73,-4.01,0.1,0.07,-43.2,700000,0.4,0.28,18.6,90000,0.4,Linear Region
PBIBDF-HH,73,134,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C(N(C1=C/2C=CC(C(S3)=CC(CCCCCCCCCCCC)=C3C4=C(C=CS4)CCCCCCCCCCCC)=C1)CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C5C6=CC(O7)=C(/C(C7=O)=C8C(N(C9=C8C=CC=C9)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C=C6OC/5=O,17.4,1.85,,,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",200.0,Chloroform,3500,Nitrogen,ambipolar,-5.63,-4.06,0.19,0.16,-26.5,12,0.93,0.64,22.9,16,0.93,Saturated Region
PBIBDF-HT,74,135,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C(N(C1=C/2C=CC(C(SC(C3=C(C=CS3)CCCCCCCCCCCC)=C4)=C4CCCCCCCCCCCC)=C1)CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C5C6=CC(O7)=C(/C(C7=O)=C8C(N(C9=C8C=CC=C9)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C=C6OC/5=O,10.2,1.48,,,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",200.0,Chloroform,3500,Nitrogen,n,-5.68,-4.05,0.0018,0.001,-17.6,13,0.043,0.029,31.5,642,0.043,Saturated Region
PBIBDF-TT,75,136,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=C(CCCCCCCCCCCC)C=C(C6=CC(CCCCCCCCCCCC)=CS6)S5)=C7)=C7N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=C9)=C9N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C/8=O,19.4,1.98,,,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",200.0,Chloroform,3500,Nitrogen,ambipolar,-5.73,-4.01,0.17,0.11,-34.7,56,0.7,0.5,19.0,30,0.7,Saturated Region
PBIBDF-HH,73,137,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C(N(C1=C/2C=CC(C(S3)=CC(CCCCCCCCCCCC)=C3C4=C(C=CS4)CCCCCCCCCCCC)=C1)CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C5C6=CC(O7)=C(/C(C7=O)=C8C(N(C9=C8C=CC=C9)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C=C6OC/5=O,17.4,1.85,,,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",200.0,Chloroform,3500,Nitrogen,ambipolar,-5.63,-4.06,0.17,0.15,-26.5,1000000,0.38,0.34,15.0,1000000,0.38,Linear Region
PBIBDF-HT,74,138,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C(N(C1=C/2C=CC(C(SC(C3=C(C=CS3)CCCCCCCCCCCC)=C4)=C4CCCCCCCCCCCC)=C1)CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C5C6=CC(O7)=C(/C(C7=O)=C8C(N(C9=C8C=CC=C9)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C=C6OC/5=O,10.2,1.48,,,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",200.0,Chloroform,3500,Nitrogen,n,-5.68,-4.05,,,,,,,,,0.0,Linear Region
PBIBDF-TT,75,139,2016,10.1039/c6tc01617k,Journal of Materials Chemistry C,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=C(CCCCCCCCCCCC)C=C(C6=CC(CCCCCCCCCCCC)=CS6)S5)=C7)=C7N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=C9)=C9N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C/8=O,19.4,1.98,,,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,320.0,,Au,Si,"Spin coating - annealing",200.0,Chloroform,3500,Nitrogen,ambipolar,-5.73,-4.01,0.16,0.096,-45.6,50000,0.33,0.31,16.5,2000000,0.33,Linear Region
BDOPV-TT,76,140,2015,10.1021/acs.chemmater.5b00018,Chemistry of materials,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC6=C(C=CS6)S5)=C7)=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=C9)=C9N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/8=O,20.9,2.86,3.45,26.8,TG/BC,,,,CYTOP,,,Au,Al,"Spin coating - annealing",180.0,o-DCB,,Ambient,ambipolar,-5.7,-3.88,1.7,0.8,-65.0,,1.37,0.91,33.0,,1.7,
BDOPV-BDT,77,141,2015,10.1021/acs.chemmater.5b00018,Chemistry of materials,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC6=C(C=C(C=CS7)C7=C6)S5)=C8)=C8N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C9C(C=CC=C%10)=C%10N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/9=O,13.9,2.14,,24.9,TG/BC,,,,CYTOP,,,Au,Al,"Spin coating - annealing",180.0,o-DCB,,Ambient,ambipolar,-5.78,-3.88,0.12,0.08,-69.0,,0.11,0.07,38.0,,0.12,
BDOPV-BDSe,78,142,2015,10.1021/acs.chemmater.5b00018,Chemistry of materials,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC6=C(C=C(C=C[Se]7)C7=C6)[Se]5)=C8)=C8N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C9C(C=CC=C%10)=C%10N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/9=O,19.2,2.56,3.5,25.1,TG/BC,,,,CYTOP,,,Au,Al,"Spin coating - annealing",180.0,o-DCB,,Ambient,ambipolar,-5.74,-3.88,0.1,0.08,-66.0,,0.16,0.1,34.0,,0.16,
AzaBDOPV-2T,79,143,2016,10.1039/c6sc01380e,Chemical Science,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC=C(C6=CC=CS6)S5)=N7)=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=N9)=C9N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/8=O,51.6,2.62,3.44,28.4,TG/BC,5.0,100.0,20.0,CYTOP,,3.5,Au,Al,"Spin coating - annealing",200.0,o-DCB,1500,Ambient,n,-5.8,-4.37,,,,,3.22,1.63,40.0,100000,3.22,
PBABDF-DT,80,144,2017,10.1039/c7py00295e,Polymer Chemistry,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC(CCCCCCCCCCCC)=C(C6=C(CCCCCCCCCCCC)C=CS6)S5)=N7)=C7N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=N9)=C9N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/8=O,32.6,5.0,3.53,24.94,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,300.0,10.8,Au,Si,Spin coating,,Chloroform,3000,vacuum,n,-5.7,-4.04,,,,,0.65,0.46,18.0,5900000,0.65,
PBABDF-DT,80,145,2017,10.1039/c7py00295e,Polymer Chemistry,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC(CCCCCCCCCCCC)=C(C6=C(CCCCCCCCCCCC)C=CS6)S5)=N7)=C7N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=N9)=C9N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/8=O,32.6,5.0,3.52,24.36,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,300.0,10.8,Au,Si,"Spin coating - annealing",260.0,Chloroform,3000,vacuum,n,-5.7,-4.04,,,,,1.86,1.34,24.0,1600000,1.86,
PBABDF-TVT,81,146,2017,10.1039/c7py00295e,Polymer Chemistry,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC(CCCCCCCCCCCC)=C(/C=C/C6=C(CCCCCCCCCCCC)C=CS6)S5)=N7)=C7N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=N9)=C9N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/8=O,30.8,5.8,3.55,25.14,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,300.0,10.8,Au,Si,Spin coating,,Chloroform,3000,vacuum,n,-5.6,-3.99,,,,,0.61,0.52,21.0,1000000,0.61,
PBABDF-TVT,81,147,2017,10.1039/c7py00295e,Polymer Chemistry,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC(CCCCCCCCCCCC)=C(/C=C/C6=C(CCCCCCCCCCCC)C=CS6)S5)=N7)=C7N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=N9)=C9N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/8=O,30.8,5.8,3.5,23.45,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,300.0,10.8,Au,Si,"Spin coating - annealing",260.0,Chloroform,3000,vacuum,n,-5.6,-3.99,,,,,1.56,1.17,24.0,1000000,1.56,
PBIBDF-FTP1,82,148,2018,10.1021/acs.chemmater.8b02359,Chemistry of materials,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC(F)=C(C6=C(F)C=CS6)S5)=C7)=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=C9)=C9N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/8=O,28.3,1.8,3.49,32.37,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",210.0,chlorobenzene,4000,Ambient,ambipolar,-5.79,-4.0,0.051,0.042,-42.0,64.7,0.097,0.082,24.4,190,0.097,
PBIBDF-FTP2,83,149,2018,10.1021/acs.chemmater.8b02359,Chemistry of materials,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC(F)=C(C6=C(F)C=CS6)S5)=N7)=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=N9)=C9N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/8=O,34.2,1.7,3.41,29.9,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",290.0,chlorobenzene,4000,Ambient,n,-6.04,-4.1,,,,,0.77,0.63,1.1,6000000,0.77,
PBABDF-TVT,84,150,2018,10.1021/acs.macromol.8b00839,Macromolecules,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CC=C(/C=C/C6=CC=CS6)S5)=N7)=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=N9)=C9N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/8=O,48.1,2.75,3.53,32.88,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",260.0,chlorobenzene,4500,Ambient,n,-5.63,-4.02,0.014,0.0092,-41.2,1020,1.1,0.83,25.3,20000,1.1,
PBABDF-TCNT,85,151,2018,10.1021/acs.macromol.8b00839,Macromolecules,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=CC(C3=CC=C(/C=C(C#N)/C4=CC=CS4)S3)=N5)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7O8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=CC=N9,46.1,2.97,3.42,29.9,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",290.0,chlorobenzene,4500,Ambient,n,-5.88,-4.15,,,,,0.16,0.12,20.3,80000,0.16,
PBABDF-TZ,86,152,2018,10.1021/acs.macromol.8b00839,Macromolecules,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C5=CN=C(C6=NC=CS6)S5)=N7)=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=N9)=C9N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/8=O,40.4,2.58,3.51,30.63,BG/TC,130.0,760.0,5.85,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",290.0,chlorobenzene,4500,Ambient,n,-6.06,-4.28,,,,,0.038,0.031,31.9,700000,0.038,
PNVB,87,153,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(/C=C/C5=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C6=O)=O)C(C6=CC(C=C)=C7C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C8=O)=O)=C7C8=C5)=N9)=C9N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C%10C(C=CC=N%11)=C%11N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/%10=O,12.9,2.6,3.64,26.07,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",200.0,chlorobenzene,4000,Ambient,n,-6.01,-4.28,,,,,0.0085,0.005,10.0,10000-100000,0.0085,
PBABDFV,88,154,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C=C)=N5)=C5N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C6C(C=CC=N7)=C7N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/6=O,16.6,2.8,3.48,25.49,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",260.0,chlorobenzene,4000,Ambient,n,-5.9,-4.29,,,,,0.76,0.55,25.0,1000000-10000000,0.76,
PBAIDV,89,155,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,O=C1N(CCCCCCCCCCCC)C2=C(C=C(N(CCCCCCCCCCCC)C(/C3=C4C(C=CC(C=C)=N5)=C5N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C6C(C=CC=N7)=C7N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/6=O,10.1,3.5,3.6,27.2,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",200.0,chlorobenzene,4000,Ambient,n,-5.71,-3.68,0.00038,0.0003,22.0,100-1000,0.0027,0.0021,46.0,100-1000,0.0027,
PNVB,87,156,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(/C=C/C5=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C6=O)=O)C(C6=CC(C=C)=C7C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C8=O)=O)=C7C8=C5)=N9)=C9N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C%10C(C=CC=N%11)=C%11N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/%10=O,12.9,2.6,3.64,26.07,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",200.0,chlorobenzene,4000,vacuum,n,-6.01,-4.28,,,,,0.0091,0.0083,4.0,10000-100000,0.0091,
PBABDFV,88,157,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(C=C)=N5)=C5N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C6C(C=CC=N7)=C7N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/6=O,16.6,2.8,3.48,25.49,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",260.0,chlorobenzene,4000,vacuum,n,-5.9,-4.29,,,,,0.52,0.38,13.0,10000000-100000000,0.52,
PBAIDV,89,158,2020,10.1021/acsami.0c02322,ACS Applied Materials & Interfaces,O=C1N(CCCCCCCCCCCC)C2=C(C=C(N(CCCCCCCCCCCC)C(/C3=C4C(C=CC(C=C)=N5)=C5N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C6C(C=CC=N7)=C7N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/6=O,10.1,3.5,3.6,27.2,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,300.0,,Au,Si,"Spin coating - annealing",200.0,chlorobenzene,4000,vacuum,n,-5.71,-3.68,,,,,0.14,0.026,31.0,10000-100000,0.14,
