Compound name,Compound id,Device id,Publish year,Doi,Journal name,Smiles,Mn(Kda),Dispersity(Đ),π-π Spacing,d(100),Device architectures,Channel length(μm),Channel width(μm),Ratio of channel length and width,Materials of dielectric layer,Thickness of dielectric layer(μm),Capacitance of unit area(nF),Materials of source and drain electrodes,Materials of gate electrodes,Fabrication method,Annealing temperature,Spin coating solvent,Spin coating speed(rpm),Test environment,Type of carriers,HOMO (eV),LUMO (eV),Max hole mobility (cm²V⁻¹s⁻¹),Mean hole mobility (cm²V⁻¹s⁻¹),Hole threshold voltage(V),Hole on and off ratio,Max electron mobility (cm²V⁻¹s⁻¹),Mean electron mobility (cm²V⁻¹s⁻¹),Electron threshold voltage(V),Electron on and off ratio,Max mobility (cm²V⁻¹s⁻¹),Comments
H-PTIIGDT-Np,126,260,2017,10.1021/acsami.7b07856,ACS Applied Materials & Interfaces,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc5ccccc5c4)sc32)c2sccc21,108.7,3.79,3.7,27.7,TG/BC,20.0,1000.0,50.0,PMMA,500.0,,Ni/Au,Al,"Spin coating - annealing",300.0,TCB,,Nitrogen,p,-5.35,-3.91,0.108,0.0748,-52.0,49-92,0.0163,0.0114,63.5,,0.108,
P(OD-DPPBT),171,261,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cccs1,77.4,1.76,3.86,20.6,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.31,-4.02,0.61,0.57,-6.2,200000,,,,,0.61,
P(ODE3-DPPBT),172,262,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCC(CCCCCCCC)COC(=O)CCCN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CCCC(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cccs1,162.6,2.4,3.85,23.3,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.29,-3.92,0.65,0.6,8.7,200000,,,,,0.65,
P(ODE5-DPPBT),173,263,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCC(CCCCCCCC)COC(=O)CCCCCN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CCCCCC(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cccs1,196.0,2.69,3.63,27.5,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.09,-3.72,0.58,0.55,0.1,>10000000,,,,,0.58,
P(DD-DPPBT),174,264,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1cccs1,192.8,3.43,3.62,30.1,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.05,-3.75,1.52,1.42,-3.0,10000,,,,,1.52,
P(DDE3-DPPBT),175,265,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCCCC(CCCCCCCCCC)COC(=O)CCCN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CCCC(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1cccs1,173.2,2.7,3.62,30.3,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.11,-3.74,2.51,2.3,-0.8,100000,,,,,2.51,
P(DDE5-DPPBT),176,266,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCCCC(CCCCCCCCCC)COC(=O)CCCCCN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CCCCCC(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1cccs1,177.7,2.36,3.62,31.4,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.04,-3.69,1.53,1.36,-4.2,>100000,,,,,1.53,
P(OD-DPPBT),171,267,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cccs1,77.4,1.76,3.86,20.6,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.31,-4.02,0.31,0.28,-1.5,>1000000,,,,,0.31,
P(ODE3-DPPBT),172,268,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCC(CCCCCCCC)COC(=O)CCCN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CCCC(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cccs1,162.6,2.4,3.85,23.3,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.29,-3.92,0.4,0.35,5.1,>100000,,,,,0.4,
P(ODE5-DPPBT),173,269,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCC(CCCCCCCC)COC(=O)CCCCCN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CCCCCC(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cccs1,196.0,2.69,3.63,27.5,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.09,-3.72,0.55,0.5,0.5,2000000,,,,,0.55,
P(DD-DPPBT),174,270,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1cccs1,192.8,3.43,3.62,30.1,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.05,-3.75,0.85,0.8,-0.4,20000,,,,,0.85,
P(DDE3-DPPBT),175,271,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCCCC(CCCCCCCCCC)COC(=O)CCCN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CCCC(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1cccs1,173.2,2.7,3.62,30.3,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.11,-3.74,1.15,1.1,1.8,100000,,,,,1.15,
P(DDE5-DPPBT),176,272,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,CCCCCCCCCCCCC(CCCCCCCCCC)COC(=O)CCCCCN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)s3)N(CCCCCC(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1cccs1,177.7,2.36,3.62,31.4,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.04,-3.69,1.3,1.15,2.6,10000,,,,,1.3,
BDPPV,301,273,2013,10.1021/ja403624a,Journal of American Chemical Society,C=Cc1ccc2c(c1)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c2ccccc21,37.6,2.38,3.55,32.3,TG/BC,10.0,200.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,200.0,oDCB,1500.0,Ambient,n,-6.12,-4.1,,,,,1.1,0.84,5.0,,1.1,""
FBDPPV-1,302,274,2014,10.1021/ja412533d,Journal of American Chemical Society,C=Cc1ccc2c(c1F)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c2c(F)cccc21,66.3,1.94,3.42,32.9,TG/BC,5.0,200.0,40.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,180.0,oDCB,1500.0,Ambient,n,-6.19,-4.26,,,,,1.7,0.81,18.0,100000-1000000,1.7,""
FBDPPV-2,303,275,2014,10.1021/ja412533d,Journal of American Chemical Society,C=Cc1cc2c(cc1F)/C(=C1\C(=O)Oc3cc4c(cc31)OC(=O)/C4=C1/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3ccc(F)cc31)C(=O)N2CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC,53.8,3.06,3.42,32.7,TG/BC,5.0,200.0,40.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,180.0,oDCB,1500.0,Ambient,n,-6.22,-4.3,,,,,1.39,0.62,1.0,10000-100000,1.39,""
F4BDOPV-2T,304,276,2016,10.1002/adma.201600541,Advanced Materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3c2cc(F)c(-c2ccc(-c4cccs4)s2)c3F)c2cc(F)cc(F)c21,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating ,,oDCB,500.0,Ambient,n,-5.85,-4.54,,,,,7.2,4.1,-10.0,1000-10000,7.2,"High spin-coating speed devices were also being reported"
F4BDOPV-2T,304,277,2016,10.1002/adma.201600541,Advanced Materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3c2cc(F)c(-c2ccc(-c4cccs4)s2)c3F)c2cc(F)cc(F)c21,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,160.0,oDCB,500.0,Ambient,n,-5.85,-4.54,,,,,14.9,9.0,-17.0,1000-10000,14.9,""
F4BDOPV-2T,304,278,2016,10.1002/adma.201600541,Advanced Materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3c2cc(F)c(-c2ccc(-c4cccs4)s2)c3F)c2cc(F)cc(F)c21,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,180.0,oDCB,500.0,Ambient,n,-5.85,-4.54,,,,,12.5,7.8,-19.0,1000-10000,12.5,""
F4BDOPV-2T,304,279,2016,10.1002/adma.201600541,Advanced Materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3c2cc(F)c(-c2ccc(-c4cccs4)s2)c3F)c2cc(F)cc(F)c21,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,200.0,oDCB,500.0,Ambient,n,-5.85,-4.54,,,,,10.3,6.5,-22.0,1000-10000,10.3,""
F4BDOPV-2T,304,280,2016,10.1002/adma.201600541,Advanced Materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3c2cc(F)c(-c2ccc(-c4cccs4)s2)c3F)c2cc(F)cc(F)c21,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,220.0,oDCB,500.0,Ambient,n,-5.85,-4.54,,,,,8.1,4.7,-25.0,1000-10000,8.1,""
F4BDOPV-2T,304,281,2016,10.1002/adma.201600541,Advanced Materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3c2cc(F)c(-c2ccc(-c4cccs4)s2)c3F)c2cc(F)cc(F)c21,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,240.0,oDCB,500.0,Ambient,n,-5.85,-4.54,,,,,5.6,3.2,-27.0,1000-10000,5.6,""
F4BDOPV-2T,304,282,2016,10.1002/adma.201600541,Advanced Materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3c2cc(F)c(-c2ccc(-c4cccs4)s2)c3F)c2cc(F)cc(F)c21,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,260.0,oDCB,500.0,Ambient,n,-5.85,-4.54,,,,,3.8,2.1,-30.0,1000-10000,3.8,""
F4BDOPV-2Se,305,283,2016,10.1002/adma.201600541,Advanced Materials,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3c2cc(F)c(-c2ccc(-c4ccc[se]4)[se]2)c3F)c2cc(F)cc(F)c21,23.8,2.87,3.55,28.6,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,160.0,oDCB,500.0,Ambient,n,-5.83,-4.54,,,,,6.1,3.2,3.0,1000-10000,6.1,""
NBDOPV,306,284,2015,10.1039/c5cc02026c,Chemical Communications,CCCCCCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ccccc32)c2cc3c(cc21)/C(=C1\C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2cc(-c4ccc(/C=C/c5cccs5)s4)ccc21)C(=O)N3CCCCCCCCCCCC,37.6,2.38,,34.5,BG/TC,2.4,60.0,25.0,OTS-treated SiO2,300.0,11.0,Au,n++-Si,Spin coating - annealing,200.0,TCE,,Ambient,p,-5.32,-4.05,1.92,,,,,,,,1.92,""
PIBDTBT-40,307,285,2016,10.1016/j.orgel.2016.05.003,Organic Electronics,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Sc3cc4c(cc32)SC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,21.0,2.3,3.9,29.2,BG/BC,30.0,1000.0,33.0,DDTS-treated SiO2,300.0,,Au,n++-Si,Spin coating - annealing,100.0,Chloroform,3000.0,Nitrogen,ambipolar,-5.6,-4.06,0.051,0.039,,,0.087,0.06,,,0.087,""
PIBDTBT-40,307,286,2016,10.1016/j.orgel.2016.05.003,Organic Electronics,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Sc3cc4c(cc32)SC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,21.0,2.3,3.9,29.2,BG/BC,30.0,1000.0,33.0,DDTS-treated SiO2,300.0,,Au,n++-Si,Spin coating - annealing,150.0,Chloroform,3000.0,Nitrogen,ambipolar,-5.6,-4.06,0.1,0.063,,,0.08,0.069,,,0.1,""
PIBDTBT-40,307,287,2016,10.1016/j.orgel.2016.05.003,Organic Electronics,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Sc3cc4c(cc32)SC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,21.0,2.3,3.9,29.2,BG/BC,30.0,1000.0,33.0,DDTS-treated SiO2,300.0,,Au,n++-Si,Spin coating - annealing,200.0,Chloroform,3000.0,Nitrogen,ambipolar,-5.6,-4.06,0.1,0.071,,,0.14,0.099,,,0.14,""
PIBDTBT-40,307,288,2016,10.1016/j.orgel.2016.05.003,Organic Electronics,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)Sc3cc4c(cc32)SC(=O)/C4=C2/C(=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,21.0,2.3,3.9,29.2,BG/BC,30.0,1000.0,33.0,DDTS-treated SiO2,300.0,,Au,n++-Si,Spin coating - annealing,250.0,Chloroform,3000.0,Nitrogen,ambipolar,-5.6,-4.06,0.092,0.061,,,0.12,0.095,,,0.12,""
PBIBDF-BT,308,289,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2ccc3c(c2)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C2/C(=O)Sc3cc4c(cc32)SC(=O)/C4=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3ccccc32)cc1CCCCCCCCCCCC,38.6,1.52,3.55,28.5,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating,,Chloroform,,vacuum,n,-5.55,-4.03,,,,,0.46,0.29,-0.4,10000-100000,0.46,""
PBIBDF-BT,308,290,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2ccc3c(c2)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C2/C(=O)Sc3cc4c(cc32)SC(=O)/C4=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3ccccc32)cc1CCCCCCCCCCCC,38.6,1.52,3.55,28.5,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,180.0,Chloroform,,vacuum,n,-5.55,-4.03,,,,,1.03,0.79,28.7,10000-100000,1.03,""
PBTBDF-BT,309,291,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2cc3c(s2)/C(=C2\C(=O)Sc4cc5c(cc42)SC(=O)/C5=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4C=CSC24)C(=O)N3CC(CCCCCCCCCC)CCCCCCCCCCCC)cc1CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating,,Chloroform,,vacuum,ambipolar,-5.18,-3.94,0.13,0.1,-15.5,100-1000,0.08,0.07,47.0,100-1000,0.13,""
PBTBDF-BT,309,292,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2cc3c(s2)/C(=C2\C(=O)Sc4cc5c(cc42)SC(=O)/C5=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4C=CSC24)C(=O)N3CC(CCCCCCCCCC)CCCCCCCCCCCC)cc1CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,150.0,Chloroform,,vacuum,p,-5.18,-3.94,0.34,0.3,-26.4,1000-10000,0.13,0.1,55.6,100-1000,0.34,""
PBTBDF-BT,309,293,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2cc3c(s2)/C(=C2\C(=O)Sc4cc5c(cc42)SC(=O)/C5=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4C=CSC24)C(=O)N3CC(CCCCCCCCCC)CCCCCCCCCCCC)cc1CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,180.0,Chloroform,,vacuum,p,-5.18,-3.94,0.45,0.38,-21.3,1000-10000,0.22,0.18,56.9,1000-10000,0.45,""
PBIBDF-BT,308,294,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2ccc3c(c2)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C2/C(=O)Sc3cc4c(cc32)SC(=O)/C4=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3ccccc32)cc1CCCCCCCCCCCC,38.6,1.52,3.55,28.5,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating,,Chloroform,,Ambient,ambipolar,-5.55,-4.03,0.39,0.27,-15.4,1000-10000,0.28,0.2,1.63,1000-10000,0.39,""
PBIBDF-BT,308,295,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2ccc3c(c2)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C2/C(=O)Sc3cc4c(cc32)SC(=O)/C4=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3ccccc32)cc1CCCCCCCCCCCC,38.6,1.52,3.55,28.5,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,180.0,Chloroform,,Ambient,ambipolar,-5.55,-4.03,0.36,0.23,-23.0,1000-10000,0.6,0.37,37.8,1000-10000,0.36,""
PBIBDF-BT,309,296,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2cc3c(s2)/C(=C2\C(=O)Sc4cc5c(cc42)SC(=O)/C5=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4C=CSC24)C(=O)N3CC(CCCCCCCCCC)CCCCCCCCCCCC)cc1CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating,,Chloroform,,Ambient,p,-5.18,-3.94,0.25,0.21,-19.5,1000-10000,0.03,0.02,76.6,100-1000,0.25,""
PBIBDF-BT,309,297,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2cc3c(s2)/C(=C2\C(=O)Sc4cc5c(cc42)SC(=O)/C5=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4C=CSC24)C(=O)N3CC(CCCCCCCCCC)CCCCCCCCCCCC)cc1CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,150.0,Chloroform,,Ambient,p,-5.18,-3.94,0.45,0.36,-14.4,100-1000,0.02,0.01,69.1,100-1000,0.45,""
PBIBDF-BT,309,298,2015,10.1039/c5py00161g,Polymer Chemistry,CCCCCCCCCCCCc1ccsc1-c1sc(-c2cc3c(s2)/C(=C2\C(=O)Sc4cc5c(cc42)SC(=O)/C5=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4C=CSC24)C(=O)N3CC(CCCCCCCCCC)CCCCCCCCCCCC)cc1CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,180.0,Chloroform,,Ambient,p,-5.18,-3.94,0.61,0.53,-16.2,100-1000,0.07,0.06,76.2,100-1000,0.61,""
PyDI-T,310,299,2021,10.1039/d1tc01729b,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)c2ccc3cc4c(=O)n(CC(CCCCCCCC)CCCCCCCCCC)c(=O)c5cc(-c6cccs6)c6cc(c1=O)c2c3c6c54,44.8,3.38,,23.5,TG/BC,,,,CYTOP,500.0,3.7,Au,Al,Spin coating - annealing,180.0,oDCB,1500.0,Ambient,n,-5.65,-3.85,,,,,0.087,0.057,13.9,10000-100000,0.087,""
PyDI-TT,311,300,2021,10.1039/d1tc01729b,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)c2ccc3cc4c(=O)n(CC(CCCCCCCC)CCCCCCCCCC)c(=O)c5cc(-c6ccc(-c7cccs7)s6)c6cc(c1=O)c2c3c6c54,52.4,2.89,3.7,23.5,TG/BC,,,,CYTOP,500.0,3.7,Au,Al,Spin coating - annealing,180.0,oDCB,1500.0,Ambient,n,-5.39,-3.84,,,,,0.335,0.176,12.6,10000-100000,0.335,""
TIF-BT,312,301,2017,10.1002/adma.201702523,Advanced Materials,CCCCCCCCCCCCCCCCC1(CCCCCCCCCCCCCCCC)c2cc3c(cc2-c2cc4sccc4cc21)C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)c1cc2cc(-c4cccc5nsnc45)sc2cc1-3,56.5,1.47,4.05,,BG/TC,20.0,1000.0,50.0,CYTOP,480.0,3.9,Au/Ti,Al,Spin coating - annealing,90.0,oDCB,,Nitrogen,p,-5.7,-3.7,2.8,,0.0,10000000,,,,,2.8,""
TIF-FBT,313,302,2017,10.1002/adma.201702523,Advanced Materials,CCCCCCCCCCCCCCCCC1(CCCCCCCCCCCCCCCC)c2cc3c(cc2-c2cc4sccc4cc21)C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)c1cc2cc(-c4c(F)ccc5nsnc45)sc2cc1-3,55.2,1.5,4.0,,BG/TC,20.0,1000.0,50.0,CYTOP,480.0,3.9,Au/Ti,Al,Spin coating - annealing,90.0,oDCB,,Nitrogen,p,-5.7,-3.7,0.5,,,,,,,,0.5,""
